Ветка,Номер вопроса,Выбор пользователя,Вводная,Вариант вопроса,Подтверждение выбора,Следующий вопрос,Совет,Финал,Эмодзи
1,1,1,"Добро пожаловать в мир возможностей! Этот опрос поможет тебе лучше понять себя и свои цели. Ты узнаешь, какой у тебя стиль, какие шаги уже сделаны и как двигаться дальше.",Начать опрос,Отлично! Приступим к анализу.,1,,Нет,🚀
1,1,2,"Успех — это не просто деньги или карьера. Это состояние, которое зависит от твоих целей, привычек и внутренней гармонии. Но без понимания своих желаний легко потеряться среди чужих ожиданий. Этот опрос поможет тебе найти свой путь к успеху.","Хочу понять, чего хочу","Хорошо, ты хочешь разобраться в себе — отличное начало! Сейчас мы поможем тебе определиться с направлением.",2,"*Любознательный исследователь*
Ты стоишь на пороге важного путешествия — поиска своего пути. Не спеши, задавай себе вопросы, и ответы придут сами.",Нет,🔍
1,1,3,"Успех — это не просто деньги или карьера. Это состояние, которое зависит от твоих целей, привычек и внутренней гармонии. Но без понимания своих желаний легко потеряться среди чужных ожиданий. Этот опрос поможет тебе найти свой путь к успеху.","Хочу быть более продуктивным","Отлично, ты хочешь повысить свою эффективность. Сейчас мы подберём тебе подходящую систему.",2,"*Стремящийся к порядку*
Ты чувствуешь, что можешь работать лучше, и готов к изменениям. Это важный шаг на пути к успеху.",Нет,📅
1,1,4,"Успех — это не просто деньги или карьера. Это состояние, которое зависит от твоих целей, привычек и внутренней гармонии. Но без понимания своих желаний легко потеряться среди чужных ожиданий. Этот опрос поможет тебе найти свой путь к успеху.","Хочу быть счастливым(ой)","Отлично, ты ставишь важную цель — счастье. Сейчас мы подберём тебе подходящие методики.",2,"*Искатель гармонии*
Ты понимаешь, что успех — это не только внешние достижения, но и внутренний комфорт. Это зрелый взгляд на жизнь.",Нет,🧘
1,1,5,"Успех — это не просто деньги или карьера. Это состояние, которое зависит от твоих целей, привычек и внутренней гармонии. Но без понимания своих желаний легко потеряться среди чужных ожиданий. Этот опрос поможет тебе найти свой путь к успеху.","Хочу развиваться, но не знаю как","Не страшно, ты уже сделал первый шаг — решил измениться. Мы поможем тебе разобраться.",2,"*Любознательный новичок*
Ты ещё не нашёл свой путь, но уже знаешь, что хочешь его найти. Это важнее, чем ты думаешь.",Нет,❓
1,2,6,"Понимание твоего уровня развития позволит нам предложить тебе действительно полезную информацию — от базовых книг до продвинутых техник. Ты можешь быть новичком, а можешь уже применять принципы саморазвития. Честный ответ поможет точнее подобрать рекомендации.",Почти ничего не знаю,Не страшно — все начинали с этого. Мы поможем тебе освоиться.,3,"*Новичок*
Ты обладаешь потенциалом, который только предстоит раскрыть. Главное — начать с малого и двигаться постепенно.",Нет,❓
1,2,7,"Понимание твоего уровня развития позволит нам предложить тебе действительно полезную информацию — от базовых книг до продвинутых техник. Ты можешь быть новичком, а можешь уже применять принципы саморазвития. Честный ответ поможет точнее подобрать рекомендации.",Читал(а) книги/смотрел(а) ролики,"Хорошо, ты уже сделал(а) первый шаг. Теперь давай углубимся.",3,"*Начинающий*
Ты уже в теме, но только начинаешь осваивать практические аспекты. Это правильный этап для развития.",Нет,📚
1,2,8,"Понимание твоего уровня развития позволит нам предложить тебе действительно полезную информацию — от базовых книг до продвинутых техник. Ты можешь быть новичком, а можешь уже применять принципы саморазвития. Честный ответ поможет точнее подобрать рекомендации.","Есть базовое понимание (цели, привычки, мотивация)","Отлично, у тебя есть база. Теперь можно переходить к следующему уровню.",3,"*Имеет базовое понимание*
Ты уже владеешь ключевыми понятиями и готов к более глубокому погружению.",Нет,✅
1,2,9,"Понимание твоего уровня развития позволит нам предложить тебе действительно полезную информацию — от базовых книг до продвинутых техник. Ты можешь быть новичком, а можешь уже применять принципы саморазвития. Честный ответ поможет точнее подобрать рекомендации.",Разбираюсь в основах и практикуюсь,"Прекрасно, ты уже опытный. Сейчас я помогу тебе улучшить стратегию.",3,"*Развитый пользователь*
Ты находишься на высоком уровне понимания и готов к профессиональному росту.",Нет,🎯
1,3,10,"Готовность к действиям — ключевой фактор в достижении успеха. Кто-то предпочитает планировать, кто-то действует импульсивно. Это влияет на то, насколько эффективно ты достигаешь целей. Давай разберёмся, какой стиль у тебя.","Планирую всё заранее","Отлично, ты планируешь всё заранее — это разумный подход.",4,"*Организованный стратег*
Ты любишь планировать, ставить задачи и двигаться к ним шаг за шагом. Это мощная стратегия, если ты умеешь адаптироваться.",Нет,📊
