Ветка,Номер вопроса,Выбор пользователя,Вводная,Вариант вопроса,Подтверждение выбора,Следующий вопрос,Совет,Финал,Эмодзи,Портрет,Описание портрета
1,1,1,"Запрашивать повышение зарплаты — это навык, которому можно и нужно научиться. Исследования показывают: 70% сотрудников, которые готовят аргументы заранее, добиваются в итоге увеличения своего дохода. Главное - не униженно просить, а уверенно доказать свою ценность для компании. Например, подготовить список своих достижений за год, иметь на руках данные о рыночных зарплатах для специалиста своего уровня и сформулировать четкий запрос. В этом опросе мы разберём, как сделать это максимально эффективно.",Начать опрос,Отлично! Приступим к анализу.,2,,Нет,💼,,
1,2,2,"Запрос на повышение зарплаты - это не челобитная, это переговоры между вами как сотрудником и вашим нанимателем. Успешные переговоры начинаются задолго до разговора с руководителем - без предварительной подготовки шансы на успех падают в 2 раза. Три ключевых момента. Рыночные зарплаты: посмотрите средние значения для вашей должности на рынке, например на hh.ru. Рассчитайте ваш вклад: прибыль от ваших проектов, сэкономленные ресурсы или улучшенные процессы. Подберите удачный момент, например, после завершения важного этапа работы.",Хочу повысить зарплату,"Хорошо, ты хочешь повысить зарплату. Давай выберем правильную стратегию.",3,"Целеустремлённый. Ты уже осознал, что достоин большего. Это первый и самый важный шаг на пути к карьерному росту.",Нет,📈,Целеустремлённый. ,"Осознал, что достоин большего — это первый шаг. Собери список своих достижений и уверенно озвучь их."
1,2,3,"Запрос на повышение зарплаты - это не челобитная, это переговоры между вами как сотрудником и вашим нанимателем. Успешные переговоры начинаются задолго до разговора с руководителем - без предварительной подготовки шансы на успех падают в 2 раза. Три ключевых момента. Рыночные зарплаты: посмотрите средние значения для вашей должности на рынке, например на hh.ru. Рассчитайте ваш вклад: прибыль от ваших проектов, сэкономленные ресурсы или улучшенные процессы. Подберите удачный момент, например, после завершения важного этапа работы.",Хочу научиться правильно просить повышение,"Отлично, тщательно продумать как правильно просить повышение — это зрелый подход.",3,"Начинающий профи. Ты понимаешь, что даже опыт требует обучения. Карьера — это навык, который тоже можно развивать.",Нет,🧠,Начинающий профи.,"Уже понимаешь, что карьера — это совокупность навыков. Начни с анализа своих результатов и полученного опыта."
1,2,4,"Запрос на повышение зарплаты - это не челобитная, это переговоры между вами как сотрудником и вашим нанимателем. Успешные переговоры начинаются задолго до разговора с руководителем - без предварительной подготовки шансы на успех падают в 2 раза. Три ключевых момента. Рыночные зарплаты: посмотрите средние значения для вашей должности на рынке, например на hh.ru. Рассчитайте ваш вклад: прибыль от ваших проектов, сэкономленные ресурсы или улучшенные процессы. Подберите удачный момент, например, после завершения важного этапа работы.","Хочу понять, чего я стою на рынке","Отлично, понять свою цену — это взрослый подход.",3,"В поисках своей цены. Ты понимаешь, что знание рыночной стоимости — ключ к успешным переговорам. Это зрелый и продуманный подход.",Нет,📊,В поисках своей цены.,Знание своей рыночной стоимости — это сила. Проверь текущие вакансии и подкрепи свои запросы непререкаемыми данными.
1,2,5,"Запрос на повышение зарплаты - это не челобитная, это переговоры между вами как сотрудником и вашим нанимателем. Успешные переговоры начинаются задолго до разговора с руководителем - без предварительной подготовки шансы на успех падают в 2 раза. Три ключевых момента. Рыночные зарплаты: посмотрите средние значения для вашей должности на рынке, например на hh.ru. Рассчитайте ваш вклад: прибыль от ваших проектов, сэкономленные ресурсы или улучшенные процессы. Подберите удачный момент, например, после завершения важного этапа работы.","Ещё не уверен(а), хочу разобраться","Не страшно, все начинают с этого. Разобраться в себе и своих возможностях, - это сложный и ответственный шаг.",3,"Будущий карьерист. Ты ещё не определился, но уже знаешь, что хочешь больше. Это важнее, чем ты думаешь.",Нет,❓,Будущий карьерист.,"Ещё не определился, но уже на верном пути. Пройдя этот опрос ты уже показал мотивацию. Осталось превратить ее для себя чёткий план."
1,3,6,"Руководитель скажет «да» только если увидит прямую принесенную прибыль для компании. И что сохранение вас в штате как специалиста гораздо ценнее, чем небольшое увеличение оклада. Ваши аргументы могут быть: Финансовыми: «Я увеличил доход отдела на 15%». Экспертными: «Мои навыки в SEO сократили затраты на рекламу». Стратегическими: «Моя работа над проектом X привела к партнёрству с компанией Y». Чем конкретнее примеры — тем убедительнее ваша позиция.",Сбор рыночных данных,"Превосходно, использовать рыночные данные — это главная основа для обоснованной аргументации.",4,"Оценщик перспектив. Ты доверяешь фактам и цифрам. Это разумный подход, особенно если ты работаешь в конкурентной сфере.",Нет,📊,Оценщик перспектив.,"Доверяешь цифрам — отлично. Используй отчёты, метрики и статистику как аргумент."
1,3,7,"Руководитель скажет «да» только если увидит прямую принесенную прибыль для компании. И что сохранение вас в штате как специалиста гораздо ценнее, чем небольшое увеличение оклада. Ваши аргументы могут быть: Финансовыми: «Я увеличил доход отдела на 15%». Экспертными: «Мои навыки в SEO сократили затраты на рекламу». Стратегическими: «Моя работа над проектом X привела к партнёрству с компанией Y». Чем конкретнее примеры — тем убедительнее ваша позиция.",Оценка своего вклада,Правильно! Ваш вклад в компанию — ключевой аргумент. Давайте закрепим его в твоих словах.,4,Стратег. Ты умеешь видеть своё значение и аргументировать его. Это важный навык для любого профессионала.,Нет,🎯,Стратег.,"Видишь свой вклад — оформи его в список: проекты, прибыль, экономия. Это твоё досье."
1,3,8,"Руководитель скажет «да» только если увидит прямую принесенную прибыль для компании. И что сохранение вас в штате как специалиста гораздо ценнее, чем небольшое увеличение оклада. Ваши аргументы могут быть: Финансовыми: «Я увеличил доход отдела на 15%». Экспертными: «Мои навыки в SEO сократили затраты на рекламу». Стратегическими: «Моя работа над проектом X привела к партнёрству с компанией Y». Чем конкретнее примеры — тем убедительнее ваша позиция.",Выбор момента для разговора,"Хорошо, ты чувствуешь важность времени и выбора подходящей тактики.",4,"Разумный переговорщик. Ты понимаешь, что время имеет значение. Это важный элемент успешных переговоров.",Нет,📆,Разумный переговорщик.,"Чувствуешь важность момента. Лучшее время — после достигнутого успеха, а не в пик нагрузки незавершенных проектов."
1,4,9,"Стиль переговоров крайне важен - один и тот же аргумент можно подать по-разному. Факты и цифры работают в технических сферах: «Вот отчет, подтверждающий мою эффективность». Эмоции и истории — в творческих: «Клиент выбрал нас, потому что я предложил нестандартное решение». Но лучший вариант — комбинация: начать с цифр, а затем подкрепить их примером из практики.",Факты и цифры,Факты — вот твой главный козырь! Которые должны опирваться на объективные аргументы.,5,"Осторожный логик. Ты полагаешься на факты и данные. Это разумная стратегия, особенно в технических и аналитических сферах.",Нет,📊,Осторожный логик.,Полагаешься на факты — подкрепи запрос рыночными данными и KPI. Будь хладнокровен.
1,4,10,"Стиль переговоров крайне важен - один и тот же аргумент можно подать по-разному. Факты и цифры работают в технических сферах: «Вот отчет, подтверждающий мою эффективность». Эмоции и истории — в творческих: «Клиент выбрал нас, потому что я предложил нестандартное решение». Но лучший вариант — комбинация: начать с цифр, а затем подкрепить их примером из практики.",Эмоциональная подача,"Эмоции тоже важны, но их нужно подкреплять фактами. Крайне важно найти баланс.",5,Природный коммуникатор. Ты чувствуешь силу слова и эмоций. Главное — не забывать подкреплять их конкретикой.,Нет,💬,Природный коммуникатор.,"Умеешь вдохновлять — начни с истории успеха, потом добавь цифры. Голые факты лежат в основе умения убеждать."
1,5,11,"Способ обсуждения влияет на результат так же, как и содержание. Личная встреча позволяет сразу реагировать на возражения и видеть невербальные сигналы. Однако он требует внутренней уверенности и собранности. Письменное обращение даёт время на формулировку мыслей и подбор тезисов, но может быть случайно или намеренно проигнорировано Совет: составьте письменный план, а затем предложите обсудить его лично.",Личная встреча,Личная встреча — лучший вариант для подведения итогов переговоров. Но перед этим стоит провести подготовку.,6,Бросающий вызов. Ты предпочитаешь живое общение. Это создаёт доверие и позволяет сразу реагировать на реакцию собеседника.,Нет,🤝,Бросающий вызов.,Когда выбираешь живое общение — готовься к диалогу: отработай ответы на любые вероятные возражения.
1,5,12,"Способ обсуждения влияет на результат так же, как и содержание. Личная встреча позволяет сразу реагировать на возражения и видеть невербальные сигналы. Однако он требует внутренней уверенности и собранности. Письменное обращение даёт время на формулировку мыслей и подбор тезисов, но может быть случайно или намеренно проигнорировано Совет: составьте письменный план, а затем предложите обсудить его лично.",Письменное обращение,"Письмо — лучший способ изложить свои мысли чётко, взвешенно и последовательно.",6,"Продвинутый тактик. Ты предпочитаешь планировать каждое слово. Это разумный подход, особенно если ты не любишь спонтанные разговоры.",Нет,📝,Продвинутый тактик.,Планируешь каждое слово — составь письменный план. Самостоятельно ответь на контраргументы и подготовь варианты ответов на них.
1,6,13,"Если получен отказ — это не конец переговоров, а возможность получить обратную связь. То есть просто переход на следующий этап. Сформулируйте уточняющие вопросы: «Каких показателей мне нужно достичь, чтобы Вы пересмотрели решение?» «Можем ли мы обсудить альтернативы: бонусы, обучение или гибкий график?». Так вы превратите «нет» в план действий.",Попрошу конкретные условия для повышения,Правильно! Ясно сформулированные претензии и цели - твердый шаг на пути построения карьеры.,7,"Прямолинейный. Ты умеешь слышать «нет» и превращать его в «да, но через…». Это зрелый подход к развитию.",Нет,⚖️,Прямолинейный.,"Надо быть готовым услышать «нет» и не боятся этого. Просто уточнять: «Какие KPI вам принести, чтобы пересмотреть решение?»"
1,6,14,"Если получен отказ — это не конец переговоров, а возможность получить обратную связь. То есть просто переход на следующий этап. Сформулируйте уточняющие вопросы: «Каких показателей мне нужно достичь, чтобы Вы пересмотрели решение?» «Можем ли мы обсудить альтернативы: бонусы, обучение или гибкий график?». Так вы превратите «нет» в план действий.",Рассмотрю альтернативы,Гибкость — это важно. Сейчас мы обсудим возможные варианты развития событий.,7,"Гибкий игрок. Ты готов работать с обстоятельствами, а не против них. Это зрелая позиция, которая часто приносит результат.",Нет,🔄,Гибкий игрок.,"Гибкий — предложи бонусы, обучение или удалёнку. Иногда это ценнее и перспективнее простой прибавки к зарплате."
1,7,15,"Цель переговоров не только в зарплате, деньги — лишь часть мотивации. Подумайте, что для вас важнее: фиксированное повышение оклада — стабильность, но сложнее договориться. Бонусы за результат — более гибкий вариант, но зависит от KPI. Нефинансовые бонусы — оплата курсов повышения квалификации, оплата страховок, абонемент в спортзал, удалённая работа и пр. Такие косвенные затраты психологически легче воспринимаются любым руководителем, а вам могут заметно снизить нагрузку на свой бюджет.",Увеличение оклада,Повышение чистого оклада — важная цель. Но есть много и других вариантов добиться желаемого.,8,"Финансовый лидер. Ты стремишься к материальной справедливости. Это нормально, если ты можешь это обосновать и показать результаты.",Нет,💰,Финансовый лидер.,Хочешь больше зарабатывать — подготовь доказательства своей полезности: личный вклад и взятые обязательства играют ключевую роль.
1,7,16,"Цель переговоров не только в зарплате, деньги — лишь часть мотивации. Подумайте, что для вас важнее: фиксированное повышение оклада — стабильность, но сложнее договориться. Бонусы за результат — более гибкий вариант, но зависит от KPI. Нефинансовые бонусы — оплата курсов повышения квалификации, оплата страховок, абонемент в спортзал, удалённая работа и пр. Такие косвенные затраты психологически легче воспринимаются любым руководителем, а вам могут заметно снизить нагрузку на свой бюджет.",Дополнительные бонусы,"Бонусы — отличная альтернатива. Важно определить, какие именно тебе подходят.",8,"Хитрый ловкач. Ты понимаешь, что деньги — не единственный инструмент роста. Бонусы, обучение и гибкость тоже ценны.",Нет,🎁,Хитрый ловкач.,Идти к начальству за внеплановой прибавкой — всегда неизведанная территория. Подготовь железные аргументы и поверь в них сам. Главное — начать.
1,8,17,"Регулярные переговоры о зарплате — это абсолютная норма. Если компания стабильно растет, то их нужно планировать ровно раз в год. После значимых достижений — например, завершения проекта, это максимально уместно. НО важно: не поднимайте вопрос во время кризисов или срочных дедлайнов.",Раз в год,"Раз в год — стандартный срок. Жаль, что большинство работников робеют и откладывают этот разговор с начальством.",9,"Упорный педант. Ты придерживаешься графика. Это разумно, но не забывай: иногда есть шанс добиться повышения вне графика.",Нет,📅,Упорный педант.,"Чувствуешь несправедливость — покажи вакансии с рыночной оплатой. Напомни о том, что именно сотрудники - главный ресурс компании."
1,8,18,"Регулярные переговоры о зарплате — это абсолютная норма. Если компания стабильно растет, то их нужно планировать ровно раз в год. После значимых достижений — например, завершения проекта, это максимально уместно. НО важно: не поднимайте вопрос во время кризисов или срочных дедлайнов.",Никогда,Первый раз — самый сложный. Вы еще недавно в компании и потому к такому следует заранее серьезно подготовится.,9,"Первопроходец. Ты ещё ни разу не просил повышения. Это нормально, главное — сделать первый шаг уверенно.",Нет,🚀,Первопроходец.,"Если уже в цене — покажи, в чем ты продолжаешь быть лучше других: проекты, инициативы, уникальные навыки."
1,9,19,"При оценке текущей зарплаты сравнивайте себя не только с коллегами, но и с рынком.Как проверить свою ценность? Изучите вакансии для вашей должности с похожим опытом. Узнайте (анонимно), сколько получают коллеги в других компаниях. Оцените уникальность своих навыков — возможно, вы недооценены (очень частый случай).",Ниже рыночной,"Если зарплата ниже рыночной, у тебя сильная позиция. Конкуренты всегда готовы перехватить зарекомендовавшего себя профи.",10,"Воин справедливости. Ты чувствуешь, что получаешь меньше, чем заслуживаешь. Это нормально, если ты можешь это доказать.",Нет,⚖️,Воин справедливости.,"Веришь в свой путь — запроси новые задачи, курсы или участие в стратегических проектах."
1,9,20,"При оценке текущей зарплаты сравнивайте себя не только с коллегами, но и с рынком.Как проверить свою ценность? Изучите вакансии для вашей должности с похожим опытом. Узнайте (анонимно), сколько получают коллеги в других компаниях. Оцените уникальность своих навыков — возможно, вы недооценены (очень частый случай).",Соответствует рынку,"Если зарплата соответствует рынку, акцент следует делать на уникальность твоего вклада и что повышение мотивации улучшит твою отдачу.",10,"Нераскрытый талант. Ты уже на уровне рынка. Теперь задача — выделиться среди других и доказать, что ты дороже среднего.",Нет,✅,Нераскрытый талант.,Открыт к переменам — держи резюме в порядке. Смена компании позволяет получить новый импульс для роста.
1,10,21,"Всегда должен быть «План Б». Если повышения зарплаты не будет, у вас должны уже быть варианты. Внутри компании: новые обязанности или проекты. Вне компании: иногда смена работы — единственный способ перейти на новый уровень. Главное — действовать, а не ждать у моря погоды.",Поиск новых возможностей в компании,Гибкость — это важно. Альтернативы внутри любой развитой компании всегда есть. Проявите готовность к курсам повышения квалификации.,11,"Внутренний рост. Ты веришь в развитие внутри компании. Это разумный подход, если ты привязан к коллективу или проектам.",Нет,🏗️,Неопределившийся.,"Видишь смежные роли — узнай, где выше оклад. Внутри компании тоже можно «сменить работу»."
1,10,22,"Всегда должен быть «План Б». Если повышения зарплаты не будет, у вас должны уже быть варианты. Внутри компании: новые обязанности или проекты. Вне компании: иногда смена работы — единственный способ перейти на новый уровень. Главное — действовать, а не ждать у моря погоды.",Поиск работы в другой компании,Поиск новой работы — главный вариант. Тренд XXI века - менять место работы каждые 3-5 лет.,11,"Уровень: профессионал. Ты готов рассмотреть внешние возможности, если внутренние не сработают. Это зрелый и реалистичный подход.",Нет,🌍,Уровень: профессионал.,Не боишься брать новые задачи — всегда фиксируй свои обязанности и обсуждай доплату.
1,11,23,Горизонтальный рост может быть выгоднее вертикального. Пример: переход в смежный отдел с более высоким окладом. Участие в прибыльных проектах с бонусами. Совмещение ролей с доплатой.,Переход в другой отдел,Хорошо! Последовательное развитие и карьерный рост внутри компании — это самый надёжный путь.,12,Внутренний мигрант. Ты знаешь свои возможности и готов применить их в новом направлении. Это зрелый и стратегический ход.,Нет,🏢,Внутренний мигрант.,Знаешь свои возможности и готов применить их в новом направлении. Осталось найти свою личную тактику и затем переложить ее в долговременную стратегию.
